Dataset,AdaBoostClassifier,EasyEnsemble,MWMOTE,SMOTE,vSVM,imr,ovlap
abalone,0.274179596165,0.367225025313,0.402223022234,0.404851522652,0.225731077693,0.062485037108,0.727969348659
haber,0.345002757341,0.517333327414,0.427259802184,0.43046252738,0.395957114582,0.264705882353,0.679012345679
iono,0.885256589157,0.952315948722,0.845927067524,0.862310095613,0.357252923226,0.358974358974,0.325396825397
isolet,0.884955752212,0.680693306693,0.896154963107,0.893546442087,0.440366972477,0.0384738698301,0.1
letter,0.8905515327,0.762221484608,0.878700265574,0.885935663985,0.654048267201,0.03945,0.00887198986058
mf-mor,0.990448463982,0.973673641198,0.989957229472,0.989463608771,0.850711288359,0.1,0.015
mf-zer,0.949468178399,0.944819851778,0.946602462409,0.941856362872,0.703407516032,0.1,0.03
pima,0.613449861706,0.730248587207,0.642095682832,0.664793502059,0.49476634667,0.348958333333,0.458955223881
sat,0.612466124661,0.606703976146,0.641427250222,0.624634253565,0.632743362832,0.0935738444194,0.142168674699
sat20,0.547368421053,0.438964559159,0.533955405519,0.525200180955,0.59649122807,0.0532265661799,0.225663716814
uair,0.815299198026,0.758960614445,0.813800321937,0.830161815064,0.523205712175,0.117258784702,0.242089771891
